"CVE_COMPROBANTE","NOIDENTIFICACION"
"2128013","4466-CCS-024270"
"2128013","4469-CCS-024270"
"2128013","4472-CCS-024270"
"2128013","4474-CCS-024270"
"2128013","4475-CCS-024270"
"2128013","4479-CCS-024270"
"2128013","4480-CCS-024270"
"2128013","4481-CCS-024270"
"2128013","4491-CCS-024270"
"2128013","4503-CCS-024270"
"2128013","4505-CCS-024270"
"2128013","4506-CCS-024270"
"2128013","4507-CCS-024270"
"2128013","4510-CCS-024270"
"2128013","4511-CCS-024270"
"2128013","4512-CCS-024270"
"2128013","4515-CCS-024270"
"2128013","4516-CCS-024270"
"2128013","4517-CCS-024270"
"2128013","4518-CCS-024270"
"2128013","4519-CCS-024270"
"2128013","4523-CCS-024270"
"2128013","4531-CCS-024270"
"2128013","4540-CCS-024270"
"2128013","4541-CCS-024270"
"2128013","4542-CCS-024270"
"2128013","4543-CCS-024270"
"2128013","4544-CCS-024270"
"2128013","4545-CCS-024270"
"2128013","4546-CCS-024270"
"2128013","4547-CCS-024270"
"2128013","4548-CCS-024270"
"2128013","4549-CCS-024270"
"2128013","4556-CCS-024270"
"2128013","4557-CCS-024270"
"2128013","4558-CCS-024270"
"2128013","4559-CCS-024270"
"2128013","4560-CCS-024270"
"2128013","4561-CCS-024270"
"2128013","4562-CCS-024270"
"2128013","4567-CCS-024270"
"2128013","4568-CCS-024270"
"2128013","4569-CCS-024270"
"2128013","4570-CCS-024270"
"2128013","4577-CCS-024270"
"2128013","4578-CCS-024270"
"2128013","4580-CCS-024270"
"2128013","4581-CCS-024270"
"2128013","4582-CCS-024270"
"2128013","4583-CCS-024270"
"2128013","4587-CCS-024270"
"2128013","4589-CCS-024270"
"2128013","4590-CCS-024270"
"2128013","4591-CCS-024270"
"2128013","4593-CCS-024270"
"2128013","4595-CCS-024270"
"2128013","4596-CCS-024270"
"2128013","4597-CCS-024270"
"2128013","4599-CCS-024270"
"2128013","4600-CCS-024270"
"2128013","4602-CCS-024270"
"2128013","4603-CCS-024270"
"2128013","4608-CCS-024270"
"2128013","4610-CCS-024270"
"2128013","4613-CCS-024270"
"2128013","4621-CCS-024270"
"2128013","4622-CCS-024270"
"2128013","4623-CCS-024270"
"2128013","4628-CCS-024270"
"2128013","4629-CCS-024270"
"2128013","4642-CCS-024270"
"2128013","4643-CCS-024270"
"2128013","4646-CCS-024270"
"2128013","4652-CCS-024270"
"2128013","4653-CCS-024270"
"2128013","4654-CCS-024270"
"2128013","4655-CCS-024270"
"2128013","4658-CCS-024270"
